LoaiBaiViet,TGĐang,SoNguoiTC,TongLC,TongNTT,TongCXBLCS
Ảnh,21:33,181922.0,1590.0,2749.0,1417.0
Ảnh,19:49,148415.0,4299.0,6283.0,2740.0
Ảnh,20:00,956199.0,32728.0,37091.0,12487.0
Video,13:13,224627.37346437346,74522.0,77432.0,15926.0
Video,21:00,1863222.0,151856.0,156538.0,31532.0
Ảnh,05:02,2528938.0,85246.0,115506.0,51976.0
Ảnh,17:30,578692.0,8510.0,9994.0,2876.0
Ảnh,17:00,186028.0,10107.0,10273.0,1752.0
Video,12:52,18972.0,711.0,1046.0,6883.051666666666
Ảnh,23:00,518836.0,30658.0,35726.0,15222.0
Ảnh,22:24,39829.0,1263.0,1925.0,1009.0
Ảnh,21:11,154513.0,3341.0,5739.0,2922.0
Ảnh,20:29,2991299.0,290365.0,284440.0,39922.0
Video,18:00,1310993.0,97386.0,108749.0,24913.0
Video,17:00,977004.0,110503.0,107948.0,12686.0
Video,15:56,205717.0,23362.0,23403.0,2842.0
Ảnh,12:02,721540.0,19256.0,35050.0,24061.0
Video,11:25,91175.0,6441.0,6748.0,1038.0
Ảnh,22:11,606028.0,54466.0,57251.0,10392.0
Ảnh,20:54,919749.0,133967.0,134326.0,28867.0
Ảnh,20:20,224627.37346437346,6346.0,7188.0,2719.0
Ảnh,19:34,386707.0,28938.0,33883.0,8975.0
Ảnh,18:00,39811.0,425.0,985.0,645.0
Ảnh,17:30,497653.0,22230.0,29532.0,12911.0
Ảnh,17:00,1077861.0,28923.0,59810.0,44877.0
Ảnh,16:00,91539.0,3547.0,4324.0,1466.0
Ảnh,15:00,73721.0,6315.0,6715.0,1641.0
Ảnh,13:59,34456.0,731.0,1789.0,1243.0
Video,10:52,140877.0,11773.0,11572.0,2335.0
Ảnh,22:48,1075393.0,108310.0,138297.0,65231.0
Ảnh,22:15,734170.0,13475.0,18076.0,6220.0
Ảnh,21:00,111742.0,3456.0,5379.0,2527.0
Ảnh,20:35,214562.0,13452.0,15187.0,4806.0
Ảnh,19:59,14808.0,826.0,2074.0,1569.0
Ảnh,18:14,426605.0,40724.0,38899.0,4632.0
Video,16:31,245714.0,14751.0,19940.0,8704.0
Ảnh,14:58,224627.37346437346,3195.0,3840.0,1420.0
Ảnh,13:35,438641.0,28672.0,34703.0,13092.0
Video,19:02,675319.0,42701.0,51279.0,15438.0
